"MB_CODIGO";"MB_IMPLEMENTACAO"
1.532;"toolbar diagram diagram toolbar tool bar tool bar tool bar init tool bar tool bar"
11.571;"org tigris gef presentation fig filled filled"
67;"classifierrole object classifier role fig classifier role owner"
66;"figclassifierrole owner fig classifier role fig classifier role fig classifier role"
2.116;"returns icon icon icon icon"
314;"java awt component locale locale locale locale"
2.117;"param icon icon set set icon icon icon icon icon"
2.118;"returns name string name name"
999;"hold instance object instance module loader instance instance"
449;"param goal goal designer desire start desiring string goal goals start desiring goal"
450;"param goal goal desired stop desiring string goal goals stop desiring goal"
1;"prop panel subactivity subactivity lookup icon subactivity config loader tab props orientation"
2;"constructor param filename name file action reopen project string filename action reopen project filename filename"
3;"filename comparing menu creation filename string filename filename"
62;"todo replace fig message fig message port fig message port fig message port fig message port"
63;"null"
4;"performs save reload project param event eventsource event source menu item text project action performed action event project browser instance confirmation save file file filename load project reuse action object project browser instance load project"
37;"developers build target element method assing variable elem target element model element listmodel tested attribute build element"
5;"construct action add association role param aggregation required aggregation association param unidirectional create unidirectional association param name action description action add association role object aggregation unidirectional string name mode create poly edge edge model meta types association role name mode args aggregation aggregation mode args unidirectional value unidirectional"
38;"developers construct listmodel tested method assign variable model build model"
64;"param set"
6;"constructor param aggregation required aggregation association param unidirectional create unidirectional association param name action description param icon name name icon file action add association role object aggregation unidirectional string name string icon name mode create poly edge edge model meta types association role name mode args aggregation aggregation mode args unidirectional value unidirectional icon icon resource loader lookup icon resource icon name icon name icon value action icon icon"
451;"org argouml cognitive poster expert email string expert email email addr"
2.119;"param name name set set name string name name name"
1.113;"gui settings tab tab key string tab key tab environment"
1.114;"gui settings tab tab panel panel tab panel"
7;"param owner owner link fig action message object owner owner set dest arrow head arrow head set dashed"
8;"override dashed preserved saves org tigris gef presentation fig edge set fig org tigris gef presentation fig set fig fig set fig set dashed"
9;"fig action message"
10;"param pce event delayed vetoable change property change event pce"
11;"constructor action goals translator localize action design goals set tooltip string value action description translator localize action design goals"
12;"java awt event action listener action performed java awt event action event action performed action event action performed goals dialog goals dialog set visible"
39;"junit framework test tear tear exception tear model uml factory delete elem restore original event policy supported mdr tfm factory impl set event policy event policy model"
1.751;"recognizer feature param handle candidate handle feature feature object handle"
65;"param callers callers set callers list callers callers callers"
59;"org argouml targetmanager target listener target removed org argouml targetmanager target event target removed target event set target target"
60;"org argouml targetmanager target listener target set org argouml targetmanager target event target set target event set target target"
61;"constructor param owner owner object message node fig classifier role owner fig classifier role owner fig message port initial"
663;"org argouml application api argo module shutdown module shutdown module"
13;"constructs uml add dialog uml list cell renderer modelelements represented names choices list selected list param choices vector choices user param preselected vector preselected choices param title title dialog param multiselect allowed user select multiple choices param exclusive choices selected list appear choices list preselected choices removed choices list uml add dialog vector choices vector preselected string title multiselect allowed exclusive choices preselected title uml list cell renderer multiselect allowed exclusive"
14;"constructs uml add dialog uml list cell renderer param choices vector choices user param preselected vector preselected choices param title title dialog param renderer cellrenderer choices list selected list param multiselect allowed user select multiple choices param exclusive choices selected list appear choices list preselected choices removed choices list uml add dialog vector choices vector preselected string title list cell renderer renderer multiselect allowed exclusive multi select allowed multiselect allowed choices illegal argument exception allways choices uml add dialog exclusive preselected preselected empty choices remove preselected choices choices pre selected preselected selected vector title title title title preselected selected add preselected set layout border layout panel upper panel panel panel panel choices panel border layout panel panel selected panel border layout choices list list construct list model choices choices list set minimum size dimension renderer choices list set cell renderer renderer multiselect allowed choices list set selection mode list selection model multiple interval selection choices list set selection mode list selection model single selection choices list set visible row count scroll pane choices scroll scroll pane choices list panel choices add label translator localize label choices border layout north panel choices add choices scroll border layout center add button button resource loader wrapper lookup icon resource navigate forward add button add action listener remove button button resource loader wrapper lookup icon resource navigate remove button add action listener box button box box create vertical box button box add box create rigid dimension button box add add button button box add box create rigid dimension button box add remove button selected list list construct list model selected selected list set minimum size dimension renderer selected list set cell renderer renderer selected list set selection mode list selection model multiple interval selection selected list set visible row count scroll pane selected scroll scroll pane selected list panel selected add label translator localize label selected border layout north panel selected add selected scroll border layout center upper panel add panel choices upper panel add box create rigid dimension upper panel add button box upper panel add box create rigid dimension upper panel add panel selected upper panel set border border factory create etched border add upper panel border layout north panel cancel panel panel flow layout flow layout button button translator localize button button add action listener cancel button button translator localize button cancel cancel button add action listener cancel panel add button cancel panel add cancel button cancel panel set border border factory create empty border add cancel panel border layout south set border border factory create empty border update"
1.752;"recognizer param handle candidate handle object handle"
1.115;"constructor param param name resolution string name resolution label translator localize name"
1.116;"resolution resolution"
15;"java awt event action listener action performed action event action performed action event object source source source equals add button add selection update source equals remove button remove selection update source equals button source equals cancel button cancel"
1.117;"java lang object string string string label"
16;"updates add remove button sets enabled disabled called whenever model changed update choices size add button set enabled add button set enabled selected size remove button set enabled remove button set enabled selected size multi select allowed add button set enabled button set enabled add button set enabled button set enabled"
17;"utility method construct list model vector param vec list list model list model construct list model vector vec list model model list model vec size model add element vec model"
1.753;"recognizer flow param handle candidate handle flow flow object handle"
18;"dialog dialog constructed using constructors method called actually dialog method returns option pane option user select choices option pane cancel option param parent parent frame dialog returnvalue option pane option option pane cancel option dialog component parent frame frame parent frame frame parent frame swing utilities ancestor frame parent string title dialog title dialog dialog frame title container content pane dialog content pane content pane set layout border layout content pane add border layout center dialog set close operation window constants close dialog add window listener window adapter dialog pack dialog set location relative parent dialog set visible value"
19;"window closing window event cancel"
20;"returns choices user vector vector choices indices choices list selected indices vector vector vector indices length vector add choices indices vector"
